nome_giocatore,numero_giocatore,squadra,ruolo,altezza,minuti,FALLI_C,FALLI_S,T2_R,T2_T,T2_PER,T3_R,T3_T,T3_PER,T1_R,T1_T,T1_PER,RIM_O,RIM_D,RIM_T,STOP_D,STOP_S,PALLE_P,PALLE_R,ASS
abass awudu abass,55,Virtus Segafredo Bologna,Ala,198,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
muhammad ali abdur rahkman,5,Carpegna Prosciutto Pesaro,Guardia,193,30.8,2.8,4.2,3.8,7.1,52.9,1.9,4.5,42.1,2.9,3.9,75.8,1.1,2.3,3.4,0.2,0.4,2.3,3.8,16.7
nicola akele,45,Germani Brescia,Ala,203,15.2,1.3,0.5,1.0,2.1,48.6,0.5,1.7,27.6,0.0,0.0,0.0,1.0,1.5,2.5,0.4,0.3,0.5,0.4,3.2
davide alviti,40,EA7 Emporio Armani Milano,Ala,200,8.4,0.8,0.4,0.3,1.3,26.7,0.2,1.3,12.5,0.3,0.3,75.0,0.5,1.1,1.6,0.0,0.0,0.2,0.3,0.8
karvel markeese anderson,23,Tezenis Verona,Guardia,188,27.8,2.3,2.5,2.1,4.9,43.4,2.9,7.1,41.3,3.1,3.6,86.9,0.6,1.9,2.5,0.0,0.1,1.6,1.4,11.9
sacar anim,2,UNAHOTELS Reggio Emilia,Guardia,196,28.1,2.6,1.9,2.5,4.8,51.2,1.0,2.5,39.5,1.3,1.7,75.9,0.4,2.0,2.4,0.1,0.2,1.5,1.4,7.0
daijuan antonio,11,Pallacanestro Trieste,Guardia,190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
darion atkins,44,Dolomiti Energia Trentino,Centro,203,30.2,2.5,2.4,5.3,9.5,55.6,0.4,2.1,19.4,2.2,3.1,71.7,2.5,5.0,7.5,0.5,0.4,2.5,2.3,15.7
ismael bako,7,Virtus Segafredo Bologna,Centro,208,15.7,1.7,1.2,1.9,2.9,63.6,0.0,0.0,0.0,1.0,1.5,65.2,1.6,2.5,4.1,0.7,0.2,0.8,0.7,7.3
tommaso baldasso,25,EA7 Emporio Armani Milano,Play,192,8.8,1.0,0.3,0.0,0.3,0.0,1.0,2.5,40.0,0.1,0.2,50.0,0.2,0.8,1.0,0.0,0.0,0.8,0.6,1.3
moussa bamba,83,GeVi Napoli Basket,,0,2.7,5.0,10.7,2.3,0.7,1.7,3.3,2.7,4.7,7.3,0.7,0.0,3.0,1.0,0.3,12.0,0.779,-1.7,0.0,0.0
adrian banks,1,NutriBullet Treviso Basket,Guardia,190,29.0,1.7,4.9,3.4,6.5,52.3,1.7,4.5,37.7,4.1,4.6,87.3,0.6,2.2,2.8,0.0,0.5,2.8,1.9,14.8
billy baron,12,EA7 Emporio Armani Milano,Guardia,188,21.8,1.8,1.8,1.0,1.5,65.0,2.2,4.8,44.4,2.3,2.5,93.7,0.1,2.1,2.2,0.1,0.0,1.0,2.5,12.2
frank bartley,24,Pallacanestro Trieste,Guardia,191,32.1,1.7,5.0,4.4,9.7,44.8,2.1,5.7,37.1,4.5,5.9,76.2,0.6,4.2,4.8,0.4,0.4,2.5,2.9,19.1
pietro basta,8,Happy Casa Brindisi,,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jordan bayehe,26,Happy Casa Brindisi,Ala,204,16.3,2.1,1.5,1.4,2.9,48.9,0.0,0.1,0.0,1.1,1.7,63.0,1.3,2.1,3.4,0.2,0.3,0.7,0.3,4.3
marco belinelli,3,Virtus Segafredo Bologna,Guardia,196,21.1,1.4,1.4,1.8,3.4,52.6,1.7,5.2,32.6,2.2,2.5,88.1,0.5,0.8,1.2,0.0,0.1,0.8,1.9,8.5
davide belloni,8,UNAHOTELS Reggio Emilia,,0,3.0,3.0,4.0,0.0,0.5,1.5,2.5,0.5,2.0,2.5,0.5,0.0,4.0,0.0,0.0,8.5,0.895,-4.0,0.0,0.0
eimantas bendzius,20,Banco di Sardegna Sassari,Ala,207,31.7,1.9,3.4,1.5,3.2,46.3,2.9,6.0,49.0,2.5,3.4,73.7,0.6,3.5,4.1,0.1,0.1,1.5,1.7,15.1
paul stephan biligha,19,EA7 Emporio Armani Milano,Centro,200,11.5,1.2,0.8,1.3,2.7,48.8,0.0,0.0,0.0,0.9,1.0,93.3,0.9,1.3,2.2,0.3,0.1,0.5,0.7,4.5
dino bocevski,15,Happy Casa Brindisi,Guardia,205,1.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,-0.3
giordano bortolani,12,Tezenis Verona,Guardia,193,15.7,1.9,1.9,1.7,2.4,68.2,1.3,3.8,35.3,1.2,1.3,91.7,0.1,1.1,1.2,0.0,0.1,1.1,0.6,6.0
stefano bossi,3,Pallacanestro Trieste,Play,190,5.7,0.6,0.5,0.5,0.8,55.6,0.4,1.4,26.7,0.3,0.4,75.0,0.2,0.3,0.5,0.0,0.0,0.3,0.5,1.5
ky bowman,6,Happy Casa Brindisi,Play,185,25.6,2.8,2.8,2.6,5.6,45.8,1.7,5.2,32.6,1.9,2.4,82.5,1.2,2.7,3.9,0.4,0.3,1.8,2.5,11.5
michael bramos,6,Umana Reyer Venezia,Ala,198,21.8,2.1,1.4,0.7,1.8,40.0,1.5,3.9,37.2,0.8,1.0,81.8,0.5,1.6,2.2,0.3,0.0,0.7,0.7,5.5
jeff brooks,23,Umana Reyer Venezia,Ala,203,18.0,0.5,1.4,1.5,2.2,65.5,0.7,1.2,56.2,0.9,1.3,70.6,1.2,3.1,4.3,0.2,0.0,0.8,0.8,10.1
markel brown,22,Openjobmetis Varese,Guardia,191,31.8,2.8,4.4,1.9,3.8,50.8,2.8,7.2,38.2,3.8,5.1,75.6,0.8,3.4,4.2,0.6,0.4,1.8,2.8,17.0
